customer_id,business_name,state,business_type,years_in_business,annual_revenue,employee_count,payroll,coverage_limit,deductible
1,Biz_1,Texas,Office,18,,115,1207094,500000,500
2,Biz_2,FL,Office,3,4063960,32,124040,100000,2500
3,Biz_3,tx,Office,34,3264908,91,668406,1000000,2500
4,Biz_4,FL,Restaurant,16,4260538,82,1571714,100000,5000
5,Biz_5,FL,Office,27,1612818,73,418034,100000,5000
6,Biz_6,CA,Restaurant,29,2275504,118,756254,500000,1000
7,Biz_7,tx,Contractor,28,3225187,24,1033255,1000000,2500
8,Biz_8,tx,Restaurant,5,4604299,113,790756,1000000,500
9,Biz_9,tx,Contractor,34,4660456,100,1911331,100000,5000
10,Biz_10,FL,Office,36,4098502,45,795543,250000,500
11,Biz_11,Texas,Office,23,3621581,75,955614,500000,500
12,Biz_12,tx,Contractor,28,4246238,-1,540677,500000,2500
13,Biz_13,florida,Retail,30,425523,23,1695041,500000,2500
14,Biz_14,FL,Contractor,34,3599865,-2,1352147,500000,5000
15,Biz_15,CA,Retail,32,4199790,4,997083,1000000,2500
16,Biz_16,Texas,Restaurant,20,1039458,50,1732682,1000000,2500
17,Biz_17,florida,Restaurant,31,3772811,11,1171459,250000,2500
18,Biz_18,florida,Restaurant,22,2317336,68,1791822,500000,500
19,Biz_19,CA,Office,32,4160435,11,762501,500000,5000
20,Biz_20,Texas,Restaurant,2,2763642,118,1966197,100000,1000
21,Biz_21,FL,Retail,17,,78,387952,1000000,500
22,Biz_22,NY,Restaurant,24,,82,112221,500000,2500
23,Biz_23,Texas,Contractor,30,2419862,63,1030117,250000,500
24,Biz_24,CA,Contractor,2,197775,28,799666,250000,2500
25,Biz_25,florida,Office,39,2386488,0,260669,1000000,2500
26,Biz_26,FL,Contractor,23,787494,47,759224,250000,500
27,Biz_27,Texas,Retail,31,,60,839873,250000,5000
28,Biz_28,NY,Restaurant,21,3943334,71,525134,1000000,2500
29,Biz_29,NY,Office,22,3009758,101,1583818,500000,5000
30,Biz_30,tx,Restaurant,1,533636,37,1389959,500000,1000
31,Biz_31,tx,Restaurant,26,3038370,106,244761,250000,2500
32,Biz_32,CA,Retail,1,4232406,69,832946,250000,5000
33,Biz_33,Texas,Contractor,25,4268764,109,874668,500000,5000
34,Biz_34,Texas,Contractor,16,3235658,105,1932587,1000000,1000
35,Biz_35,florida,Restaurant,39,1776203,115,137541,250000,5000
36,Biz_36,florida,Office,32,2276360,17,947609,100000,5000
37,Biz_37,florida,Contractor,8,4408249,49,1877109,1000000,1000
38,Biz_38,tx,Office,38,4426219,74,64323,250000,2500
39,Biz_39,Texas,Contractor,28,2534629,89,616210,250000,5000
40,Biz_40,Texas,Office,25,525830,69,1237715,100000,5000
41,Biz_41,NY,Retail,34,1332397,112,1229024,100000,5000
42,Biz_42,tx,Office,24,2136233,10,1749523,500000,500
43,Biz_43,FL,Retail,23,718216,2,954480,1000000,1000
44,Biz_44,tx,Retail,12,4999801,-2,235659,1000000,500
45,Biz_45,FL,Office,6,517313,98,389678,500000,1000
46,Biz_46,NY,Retail,35,3665060,-2,854016,1000000,2500
47,Biz_47,CA,Restaurant,19,3462565,50,1153113,1000000,2500
48,Biz_48,Texas,Retail,0,1337682,19,864909,1000000,5000
49,Biz_49,NY,Contractor,7,1286643,61,241983,1000000,1000
50,Biz_50,Texas,Office,15,1533584,90,1615397,1000000,2500
